communities,largest,largest_pct,smallest,average,median,singleton_count,model_id,rating,algorithm,edge_weight,resolution,nodes,edges,modularity,dataset
22,44,0.10628019323671498,2,18.818181818181817,18.5,0,173,Mature,Louvain,3,2.0,414,2562,0.15392365292061655,Model Evaluation Results
20,48,0.11594202898550725,2,20.7,16.0,0,174,Mature,Leiden,3,2.0,414,2562,0.22369026442432202,Model Evaluation Results
29,41,0.09903381642512077,2,14.275862068965518,10.0,0,175,Mature,Louvain,3,2.5,414,2562,0.13390338861833956,Model Evaluation Results
32,42,0.10144927536231885,2,12.9375,10.5,0,176,Mature,Leiden,3,2.5,414,2562,0.19508469427366035,Model Evaluation Results
38,35,0.08454106280193237,2,10.894736842105264,9.5,0,177,Mature,Louvain,3,3.0,414,2562,0.11442993615692164,Model Evaluation Results
39,36,0.08695652173913043,2,10.615384615384615,9.0,0,178,Mature,Leiden,3,3.0,414,2562,0.18388226472170874,Model Evaluation Results
46,32,0.07729468599033816,2,9.0,8.0,0,179,Mature,Louvain,3,3.5,414,2562,0.1051590208966622,Model Evaluation Results
43,33,0.07971014492753623,2,9.627906976744185,9.0,0,180,Mature,Leiden,3,3.5,414,2562,0.17398547253712912,Model Evaluation Results
5,102,0.379182156133829,3,53.8,77.0,0,181,Mature,Louvain,4,1.0,269,1417,0.2541910649946174,Model Evaluation Results
4,110,0.40892193308550184,6,67.25,76.5,0,182,Mature,Leiden,4,1.0,269,1417,0.2994749709769812,Model Evaluation Results
10,47,0.17472118959107807,4,26.9,25.5,0,183,Mature,Louvain,4,1.5,269,1417,0.19410810271902246,Model Evaluation Results
10,50,0.18587360594795538,1,26.9,24.0,1,184,Mature,Leiden,4,1.5,269,1417,0.2640756037808863,Model Evaluation Results
18,38,0.1412639405204461,4,14.944444444444445,13.0,0,185,Mature,Louvain,4,2.0,269,1417,0.14380429342429518,Model Evaluation Results
17,41,0.1524163568773234,4,15.823529411764707,14.0,0,186,Mature,Leiden,4,2.0,269,1417,0.20869779156118695,Model Evaluation Results
26,34,0.12639405204460966,2,10.346153846153847,7.5,0,187,Mature,Louvain,4,2.5,269,1417,0.11918772665313498,Model Evaluation Results
